Choose the category that suits you most.,Area of Study,What is your current level of study?,What year of study are you in?,In which county is your institution located?,What is the ownership nature of your institution?,How satisfied are you with the quality of training provided in your course?,Training Aspects:Teaching quality,Clinical exposure,Assessment Methods,Learning Resources,Support from faculty,How do you perceive your career opportunities after qualification?,How satisfied are you with expected remuneration after qualification?,How do you view your prospects for career progression after qualification?,Who played the strongest role in influencing your decision to choose your current course?,Other (please specify),Did you receive any structured career guidance before choosing this course?,How satisfied were you with the career guidance you received before selecting this course?,"In hindsight, do you feel the guidance you received was sufficient to help you make an informed decision?",What type of additional guidance would have better supported your career choice?,Other (please specify),Was a health science course your first choice?,Factors in your career choice:Personal interest,Work-life balance,Income and job security,Prestige,Family expectations,Opportunities for advancement,Desire to serve the society,Where do you intend to work after graduation?,How likely are you to seek employment outside Kenya within the first 5 years after graduation?,"If you intend to migrate, please rank the following reasons in order of importance : Better remuneration",Better working conditions,Career growth opportunities,Desire for specialization training,Family relocation,Political/economic stability,Personal preference,"Knowing what you know now, would you still choose to study the same course?",Have you ever considered dropping out of the health science course?,Affect your medical training experience: Stress,Long journey/commute,Feeling emotionally drained,High workload,Frequent examinations,High faculty demands,Dislocation from family and friends,Financial strains,Loss of interest in the course,Inadequate role models,Experience of verbal or physical violence,I feel supported by my institution,I am confident in my clinical skills,Would you recommend this course to a friend or family member?
Student,Clinical Medicine,Undergraduate,3rd,Kisumu,Private not for profit (Faith Based),Very dissatisfied,Excellent,Excellent,Excellent,Excellent,Poor,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,More information on job prospects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Public,Neither satisfied nor dissatisfied,Good,Good,Neutral,Poor,Poor,Very Good,Dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Important,In my home country,Very unlikely,1,2,3,4,6,7,5,Yes,Sometimes,3,1,6,5,8,4,9,2,10,11,7,Disagree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Public,Satisfied,Good,Good,Good,Poor,Poor,Good,Dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Very Important,Very Important,Very Important,Moderately important,Very Important,Important,Undecided,unlikely,1,2,5,3,7,6,4,Yes,Sometimes,3,2,5,6,10,4,8,1,9,11,7,Disagree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Neither satisfied nor dissatisfied,Neutral,Good,Good,Good,Poor,Good,Dissatisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Moderately important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,In my home country,unlikely,1,2,3,4,7,5,6,No,Sometimes,1,10,3,2,7,4,9,5,6,8,11,Disagree,Agree,Not Sure
Student,Nursing and midwifery,Undergraduate,2nd,Kiambu,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Excellent,Good,Good,Satisfied,Neutral,Other (please specify),My own self,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,No,Very Important,Important,Important,Important,Very Important,Important,Very Important,Abroad,Very likely,2,1,5,3,4,7,6,Yes,Sometimes,1,11,2,3,4,6,10,7,5,8,9,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Uasin Gishu,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Satisfied,Good,A healthcare professional or mentor,,"Some guidance, but informal",Very satisfied,Yes,More information on job prospects,,Yes,Important,Somewhat important,Very Important,Moderately important,Important,Very Important,Very Important,In my home country,unlikely,4,1,2,3,7,6,5,Yes,Never,5,8,1,2,4,6,3,7,10,9,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Good,Good,Good,Good,Good,Neutral,Neither satisfied nor dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Important,Very Important,Very Important,Important,Important,Important,Important,Undecided,Very likely,4,2,1,5,7,6,3,Not sure,Rarely,1,5,3,2,6,4,8,7,9,10,11,Agree,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Neutral,Good,Neutral,Poor,Poor,Neutral,Very satisfied,Excellent,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Very Important,Moderately important,Very Important,Important,Very Important,Very Important,Somewhat important,Abroad,Very likely,1,4,3,2,5,6,7,Yes,Never,2,4,3,5,1,6,7,8,9,10,11,Disagree,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Good,Good,Good,Neutral,Neutral,Good,Neither satisfied nor dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Important,Somewhat important,Moderately important,Very Important,Very Important,Undecided,Likely,3,4,1,2,7,6,5,Yes,Sometimes,1,7,3,2,4,5,8,9,10,6,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kisumu,Private not for profit (Faith Based),Neither satisfied nor dissatisfied,Neutral,Excellent,Good,Good,Good,Good,Neither satisfied nor dissatisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Somewhat,Information on remuneration and working conditions,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Neither likely nor unlikely,2,3,1,6,4,5,7,No,Never,1,3,2,5,6,4,11,7,8,9,10,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Undecided,Very likely,2,4,5,3,6,7,1,Not sure,Never,1,3,4,2,6,5,10,7,8,9,11,Agree,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Private for profit,Dissatisfied,Neutral,Good,Poor,Good,Poor,Very Poor,Very dissatisfied,Poor,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Moderately important,Important,Moderately important,Important,Moderately important,Somewhat important,Undecided,unlikely,2,1,3,5,4,6,7,No,Never,2,3,4,5,7,6,9,1,8,11,10,Disagree,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Excellent,Good,Neutral,Good,Neutral,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Nursing and midwifery,Undergraduate,2nd,Mombasa,Public,Very dissatisfied,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Dissatisfied,Neutral,Parents/Family,,"Yes, formal/structured guidance",Very dissatisfied,Somewhat,More information on job prospects,,Yes,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,In my home country,Very unlikely,3,2,1,4,6,5,7,Yes,Rarely,2,1,3,4,5,6,7,8,9,10,11,Strongly disagree,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Meru,Private not for profit (Faith Based),Very satisfied,Good,Excellent,Excellent,Good,Good,Neutral,Satisfied,Good,Peers/Friends,,"No, I did not receive career guidance",,,,,Yes,Important,Not important,Moderately important,Not important,Not important,Somewhat important,Very Important,In my home country,Very unlikely,3,4,5,2,6,1,7,Yes,Never,1,11,2,3,4,5,9,8,10,6,7,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Good,Excellent,Excellent,Good,Good,Good,Satisfied,Excellent,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,No,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Undecided,Likely,1,2,3,4,6,7,5,Yes,Sometimes,1,11,2,3,8,4,10,6,9,7,5,Neutral,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Neutral,Very Good,Dissatisfied,Good,Other (please specify),Witnessing my best friend's battle with cancer made me want to be a doctor and help others like her,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Important,Undecided,Likely,4,1,3,2,5,6,7,Yes,Rarely,1,11,2,3,9,5,6,4,10,7,8,Disagree,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kiambu,Private not for profit (Faith Based),Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Neutral,Neither satisfied nor dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,In my home country,unlikely,2,1,7,3,5,4,6,Yes,Never,2,3,4,10,11,9,5,1,6,7,8,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Good,Good,Excellent,Excellent,Good,Good,Satisfied,Excellent,A healthcare professional or mentor,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Somewhat important,Important,Very Important,Very Important,In my home country,unlikely,1,2,3,4,5,6,7,Yes,Never,5,9,2,1,6,3,4,7,8,10,11,Agree,Agree,Yes
Student,Pharmacy,Undergraduate,1st,Kiambu,Private for profit,Very satisfied,Good,Excellent,Excellent,Excellent,Good,Very Good,Satisfied,Excellent,A healthcare professional or mentor,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,In my home country,unlikely,5,3,1,4,7,2,6,Yes,Never,6,2,3,4,7,5,10,1,9,8,11,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Good,Good,Excellent,Neutral,Good,Neither satisfied nor dissatisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Somewhat important,Important,Important,Somewhat important,Very Important,Moderately important,Undecided,unlikely,3,4,2,5,7,6,1,Yes,Sometimes,1,7,2,4,5,8,6,3,10,9,11,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Neutral,Neutral,Good,Good,Neutral,Very Good,Neither satisfied nor dissatisfied,Good,"Media (internet, TV, social media)",,"No, I did not receive career guidance",,,,,Yes,Somewhat important,Moderately important,Important,Moderately important,Not important,Very Important,Very Important,In my home country,Very likely,6,2,3,1,5,7,4,No,Always,2,7,5,4,6,9,10,1,3,8,11,Disagree,Disagree,No
Student,Nursing and midwifery,Undergraduate,2nd,Kiambu,Private for profit,Satisfied,Excellent,Excellent,Excellent,Excellent,Good,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Abroad,Likely,4,3,2,1,5,6,7,Yes,Never,2,6,1,3,8,5,11,4,10,7,9,Agree,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,Career counselling sessions,,Yes,Very Important,Very Important,Very Important,Very Important,Moderately important,Very Important,Very Important,Undecided,Likely,2,1,3,5,4,6,7,Yes,Never,2,9,1,3,5,4,6,7,11,10,8,Neutral,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kiambu,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,More information on job prospects,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Very likely,4,2,1,3,6,7,5,Yes,Never,2,5,4,3,6,7,8,1,11,9,10,Neutral,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Private for profit,Satisfied,Good,Good,Excellent,Good,Neutral,Neutral,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Satisfied,No,Better understanding of academic demands,,Yes,Very Important,Very Important,Important,Important,Very Important,Important,Important,Undecided,Very likely,1,2,3,4,7,5,6,Yes,Never,2,6,1,4,3,7,8,5,9,10,11,Agree,Agree,No
Student,Occupational therapy,Diploma,3rd,Nairobi,Public,Satisfied,Good,Excellent,Excellent,Good,Neutral,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,No,Important,Important,Important,Important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,2,4,3,5,7,6,1,Yes,Rarely,5,11,4,3,7,2,6,1,8,9,10,Agree,Strongly disagree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Good,Neutral,Neutral,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Important,Moderately important,Very Important,Important,Important,Undecided,Likely,2,3,4,1,6,7,5,Yes,Sometimes,4,8,3,1,6,2,7,5,10,9,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Good,Neutral,Neutral,Neutral,Neutral,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Career counselling sessions,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Abroad,Very likely,4,2,3,5,7,6,1,Yes,Rarely,2,11,3,4,6,1,7,8,9,5,10,Disagree,Neutral,Not Sure
Student,Medicine and Surgery,Undergraduate,3rd,Uasin Gishu,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Moderately important,Very Important,Moderately important,Important,Important,Very Important,In my home country,unlikely,1,2,5,3,4,6,7,Yes,Rarely,2,11,3,4,5,6,7,1,8,9,10,Agree,Agree,Yes
Student,Nursing and midwifery,Undergraduate,2nd,Uasin Gishu,Public,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,No,Very Important,Important,Very Important,Important,Important,Very Important,Important,Abroad,Very likely,1,3,2,5,6,7,4,Yes,Sometimes,2,10,5,1,8,3,7,11,4,9,6,Disagree,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Satisfied,Excellent,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Abroad,Very likely,1,2,3,4,6,7,5,Yes,Rarely,1,8,10,2,3,5,6,4,9,7,11,Agree,Strongly agree,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Uasin Gishu,Public,Satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Dissatisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Not important,Not important,Very Important,Very Important,Undecided,Likely,1,2,3,4,6,7,5,Not sure,Sometimes,3,9,1,2,6,5,7,4,8,11,10,Neutral,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Very satisfied,Excellent,Good,Excellent,Good,Good,Very Good,Satisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Important,Moderately important,Important,Moderately important,Very Important,Very Important,Abroad,Likely,4,5,2,3,6,7,1,Yes,Sometimes,3,1,4,7,10,6,5,2,8,9,11,Neutral,Agree,Yes
Student,Medical engineering ,Diploma,1st,Nairobi,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Important,Important,Moderately important,Very Important,Very Important,Abroad,Neither likely nor unlikely,2,1,3,5,4,6,7,Yes,Rarely,1,3,2,4,5,6,7,8,9,11,10,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Neither satisfied nor dissatisfied,Good,Good,Excellent,Excellent,Good,Good,Satisfied,Excellent,"Media (internet, TV, social media)",,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Neither likely nor unlikely,1,2,4,3,7,6,5,Yes,Never,2,5,4,1,7,3,8,9,10,6,11,Agree,Agree,Yes
Student,Medical Engineering ,Diploma,1st,Nairobi,Public,Very dissatisfied,Good,Poor,Good,Good,Good,Neutral,Satisfied,Neutral,My own personal research,,"Some guidance, but informal",Dissatisfied,Somewhat,Better understanding of academic demands,,Prefer not to say,Not important,Not important,Somewhat important,Important,Very Important,Very Important,Very Important,Undecided,Likely,2,4,1,3,5,6,7,Yes,Never,1,2,3,4,5,6,7,8,9,10,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Neutral,Good,Poor,Good,Neutral,Neutral,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Prefer not to say,Somewhat important,Very Important,Important,Moderately important,Important,Important,Very Important,Undecided,Neither likely nor unlikely,3,4,1,2,7,5,6,Not sure,Sometimes,3,11,1,4,5,7,9,8,6,10,2,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Public,Satisfied,Excellent,Good,Excellent,Excellent,Good,Good,Neither satisfied nor dissatisfied,Good,Teachers/School Counsellors,,"No, I did not receive career guidance",,,,,No,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Undecided,Very likely,1,2,3,5,7,6,4,Yes,Usually,3,8,5,1,6,4,10,2,9,7,11,Agree,Agree,Yes
Student,Clinical Medicine,Diploma,3rd,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Poor,Very Good,Dissatisfied,Neutral,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Undecided,Likely,3,4,2,1,7,6,5,Not sure,Usually,2,11,3,4,7,5,9,1,8,6,10,Disagree,Neutral,No
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Neither satisfied nor dissatisfied,Good,Good,Excellent,Neutral,Good,Good,Dissatisfied,Good,A healthcare professional or mentor,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,Yes,Important,Moderately important,Very Important,Very Important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,1,2,3,4,6,7,5,Yes,Never,2,6,9,3,4,1,8,5,11,10,7,Neutral,Neutral,Not Sure
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Good,Other (please specify),"Faith. With the hope of following in the footsteps of Creation Scientists like Joseph Lister, the pioneer of sterile techniques, to advance the field of medicine.","No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Important,Moderately important,Very Important,Very Important,Abroad,Very likely,6,4,1,2,3,7,5,Yes,Sometimes,1,11,3,2,4,5,6,7,9,10,8,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kisumu,Private not for profit (Faith Based),Neither satisfied nor dissatisfied,Good,Good,Good,Neutral,Poor,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,No,Important,Very Important,Moderately important,Important,Not important,Somewhat important,Very Important,In my home country,unlikely,5,3,4,1,6,7,2,Yes,Never,3,5,4,2,10,6,7,1,9,8,11,Disagree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kisumu,Private not for profit (Faith Based),Neither satisfied nor dissatisfied,Neutral,Good,Good,Poor,Neutral,Neutral,Dissatisfied,Poor,A healthcare professional or mentor,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Moderately important,Very Important,Very Important,In my home country,Very unlikely,2,1,3,4,5,7,6,No,Sometimes,2,11,3,4,5,6,7,1,8,9,10,Disagree,Neutral,No
Student,Medicine and Surgery,Undergraduate,4th,Kisumu,Private for profit,Satisfied,Neutral,Good,Neutral,Neutral,Neutral,Good,Dissatisfied,Neutral,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Not important,Moderately important,Very Important,Very Important,In my home country,Likely,4,1,3,2,7,6,5,Not sure,Sometimes,2,5,3,6,7,8,9,1,10,11,4,Neutral,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Meru,Private not for profit (Faith Based),Satisfied,Excellent,Good,Good,Neutral,Good,Very Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Not important,Important,Very Important,Very Important,Abroad,Likely,1,3,4,2,7,6,5,Yes,Never,3,6,2,1,8,5,9,4,10,7,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Good,Neutral,Poor,Excellent,Neutral,Neutral,Dissatisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Important,Important,Very Important,Not important,Somewhat important,Very Important,Very Important,Abroad,Very likely,1,2,4,6,7,3,5,Yes,Sometimes,1,9,6,2,5,3,7,4,10,8,11,Neutral,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,5th and above,Kisumu,Public,Satisfied,Excellent,Excellent,Excellent,Good,Good,Neutral,Satisfied,Good,"Media (internet, TV, social media)",,"No, I did not receive career guidance",,,,,Yes,Very Important,Moderately important,Very Important,Not important,Important,Important,Very Important,In my home country,Very unlikely,1,2,6,7,3,4,5,Not sure,Sometimes,1,10,7,2,5,3,9,6,4,8,11,Neutral,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,1st,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Moderately important,Very Important,Very Important,Very Important,In my home country,unlikely,4,3,2,1,6,7,5,Yes,Never,2,5,3,4,6,8,7,1,10,9,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Excellent,Good,Very Good,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Important,Important,Important,Important,Important,Undecided,Neither likely nor unlikely,4,1,2,3,7,6,5,Yes,Never,5,9,3,1,6,4,8,2,11,7,10,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,1st,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Neutral,Neutral,Poor,Neutral,Poor,Neutral,Satisfied,Neutral,My own personal research,,"Some guidance, but informal",Dissatisfied,Somewhat,More information on job prospects,,Yes,Moderately important,Very Important,Very Important,Important,Moderately important,Very Important,Important,Abroad,Likely,2,1,4,5,6,3,7,Yes,Rarely,1,8,2,3,4,7,10,5,9,6,11,Neutral,Disagree,No
Student,Medicine and Surgery,Undergraduate,1st,Kiambu,Private for profit,Satisfied,Good,Poor,Good,Excellent,Poor,Neutral,Neither satisfied nor dissatisfied,Good,Peers/Friends,,"Some guidance, but informal",Dissatisfied,No,Better understanding of academic demands,,No,Moderately important,Very Important,Very Important,Important,Moderately important,Very Important,Very Important,Abroad,Likely,2,1,3,4,7,6,5,No,Sometimes,3,7,5,1,2,4,11,6,8,9,10,Neutral,Disagree,No
Student,Medicine and Surgery,Undergraduate,4th,Kisumu,Private not for profit (Faith Based),Satisfied,Good,Good,Good,Good,Neutral,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Neither satisfied nor dissatisfied,Yes,Better understanding of academic demands,,No,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Undecided,Likely,2,4,1,3,7,6,5,Yes,Sometimes,2,8,5,1,4,3,9,7,6,10,11,Neutral,Agree,No
Student,Pharmacy,Undergraduate,5th and above,Kiambu,Public,Satisfied,Neutral,Poor,Neutral,Neutral,Neutral,Neutral,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Important,Important,Not important,Important,Important,Undecided,Likely,4,1,2,5,3,7,6,No,Sometimes,1,5,2,4,3,6,7,8,9,10,11,Disagree,Disagree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Neither satisfied nor dissatisfied,Neutral,Good,Good,Poor,Neutral,Neutral,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Yes,Moderately important,Important,Very Important,Not important,Not important,Very Important,Very Important,Abroad,Very likely,1,2,3,4,6,5,7,Yes,Sometimes,1,11,3,2,5,4,6,7,8,9,10,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Meru,Private not for profit (Faith Based),Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,Parents/Family,,"Yes, formal/structured guidance",Very satisfied,Yes,More information on job prospects,,No,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Very likely,4,3,2,1,5,6,7,Yes,Never,1,2,4,5,6,3,7,8,9,10,11,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Important,Important,Important,Very Important,Very Important,Abroad,Likely,1,4,2,6,3,7,5,Yes,Never,1,8,5,3,6,4,10,2,9,7,11,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Nairobi,Public,Satisfied,Good,Excellent,Good,Neutral,Good,Very Good,Very satisfied,Good,Other (please specify),It was an interesting field to venture into and I was fascinated with how the human body works. ,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Moderately important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,2,3,1,4,7,5,6,Yes,Never,3,9,2,1,4,5,8,6,11,7,10,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,1st,Kiambu,Private not for profit (Faith Based),Very satisfied,Excellent,Excellent,Excellent,Good,Good,Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Important,Moderately important,Somewhat important,Important,Very Important,Abroad,Likely,7,4,2,1,5,6,3,Yes,Usually,6,2,3,1,7,5,8,4,9,10,11,Agree,Neutral,Yes
